                  1         2         3         4         5         6         7         8         9
  7.72E-03  4.81E-03  1.26E-03  1.35E-03  1.01E-04  4.28E-06  3.50E-06  3.46E-06  2.59E-05  6.90E-06
  8.76E-03  4.10E-03  1.08E-03  1.16E-03  8.76E-05  3.70E-06  3.48E-06  3.45E-06  2.25E-05  6.00E-06
  9.93E-03  3.54E-03  9.39E-04  1.01E-03  7.68E-05  3.25E-06  3.46E-06  3.44E-06  1.99E-05  5.31E-06
  1.12E-02  3.11E-03  8.30E-04  9.00E-04  6.84E-05  2.90E-06  3.44E-06  3.43E-06  1.79E-05  4.78E-06
  1.27E-02  2.75E-03  7.42E-04  8.08E-04  6.16E-05  2.62E-06  3.41E-06  3.41E-06  1.63E-05  4.35E-06
  1.43E-02  2.44E-03  6.63E-04  7.26E-04  5.56E-05  2.37E-06  3.39E-06  3.40E-06  1.48E-05  3.97E-06
  1.62E-02  2.14E-03  5.88E-04  6.47E-04  4.98E-05  2.13E-06  3.36E-06  3.38E-06  1.35E-05  3.61E-06
  1.82E-02  1.85E-03  5.14E-04  5.69E-04  4.41E-05  1.89E-06  3.33E-06  3.36E-06  1.21E-05  3.24E-06
  2.05E-02  1.58E-03  4.44E-04  4.94E-04  3.85E-05  1.66E-06  3.29E-06  3.34E-06  1.07E-05  2.88E-06
  2.30E-02  1.33E-03  3.80E-04  4.25E-04  3.34E-05  1.44E-06  3.25E-06  3.32E-06  9.44E-06  2.54E-06
  2.57E-02  1.11E-03  3.21E-04  3.62E-04  2.86E-05  1.24E-06  3.21E-06  3.29E-06  8.24E-06  2.22E-06
  2.88E-02  9.16E-04  2.69E-04  3.06E-04  2.43E-05  1.06E-06  3.17E-06  3.27E-06  7.16E-06  1.94E-06
  3.22E-02  7.45E-04  2.22E-04  2.54E-04  2.04E-05  1.02E-06  3.12E-06  3.24E-06  6.15E-06  1.67E-06
  3.59E-02  5.93E-04  1.79E-04  2.07E-04  1.68E-05  9.98E-07  3.07E-06  3.20E-06  5.19E-06  1.41E-06
  4.00E-02  4.55E-04  1.40E-04  1.63E-04  1.33E-05  9.72E-07  3.01E-06  3.17E-06  4.24E-06  1.16E-06
  4.45E-02  3.35E-04  1.04E-04  1.23E-04  1.01E-05  9.45E-07  2.95E-06  3.13E-06  3.34E-06  9.21E-07
  4.95E-02  2.32E-04  7.36E-05  8.74E-05  7.29E-06  9.17E-07  2.88E-06  3.09E-06  3.05E-06  6.97E-07
  5.49E-02  1.48E-04  4.75E-05  5.69E-05  4.81E-06  8.87E-07  2.82E-06  3.05E-06  3.02E-06  4.92E-07
  6.08E-02  8.33E-05  2.71E-05  3.28E-05  2.80E-06  8.56E-07  2.74E-06  3.00E-06  2.99E-06  3.19E-07
  6.73E-02  3.88E-05  1.27E-05  1.56E-05  1.38E-06  8.23E-07  2.67E-06  2.95E-06  2.96E-06  2.29E-07
  7.43E-02  1.33E-05  4.41E-06  5.44E-06  1.31E-06  7.90E-07  2.59E-06  2.90E-06  2.94E-06  2.20E-07
  8.20E-02  3.95E-06  1.31E-06  1.63E-06  1.24E-06  7.55E-07  2.51E-06  2.84E-06  2.91E-06  2.19E-07
  9.03E-02  1.48E-06  4.92E-07  8.46E-07  1.17E-06  7.20E-07  2.42E-06  2.79E-06  2.88E-06  2.19E-07
