
    OUTPUT FILES FOR THE Sun  

 Solar Constant= 0.746   F_CH4= 6.9401E-07  F_CO2= 2.0000E-01  F_O2= 2.0813E-13  F_N2= 7.7892E-01  F_H2= 1.3770E-03  F_AR= 7.8686E-03  IO3 =  1   IUP=  1
 ICONSERV= 0  FAC= 4.0  ND=101  SRFALB= 0.316  G= 980.7  IMW= 2  INVERSE= 0

 FNO2 = 2.281E-74

 NST=     1 JCONV= 37 CHG=1.55E-02 dt0=5.00E+03 DIVF(1)=-1.08E-01 DIVFrms= 1.04E-01 DT(ND)=-3.11E+00 T(ND)=2.8489E+02

 TIME= 5.000E+03  TIME IN DAYS = 5.787E-02

 PLANETARY ALBEDO:  ALBP = 0.2835

  J     P         ALT         T        CONVEC       DT          TOLD        FH20       FSAVE        FO3        TCOOL       THEAT
 31 1.2089E-03 3.8225E+01 1.9931E+02  0.00E+00  -6.9041E-01  2.0000E+02  6.9302E-08  4.0000E-06  6.5803E-09 -1.5948E+01  4.0178E+00
 32 1.3993E-03 3.7429E+01 1.9935E+02  0.00E+00  -6.4434E-01  2.0000E+02  6.6610E-08  4.0000E-06  5.8572E-09 -1.5125E+01  3.9912E+00
 33 1.6174E-03 3.6641E+01 1.9939E+02  0.00E+00  -6.1123E-01  2.0000E+02  6.4317E-08  4.0000E-06  5.1765E-09 -1.4463E+01  3.9012E+00
 34 1.8669E-03 3.5861E+01 1.9942E+02  0.00E+00  -5.8285E-01  2.0000E+02  6.2202E-08  4.0000E-06  4.5590E-09 -1.3803E+01  3.7311E+00
 35 2.1516E-03 3.5089E+01 1.9946E+02  0.00E+00  -5.4819E-01  2.0000E+02  6.0330E-08  4.0000E-06  3.9953E-09 -1.2946E+01  3.4733E+00
 36 2.4763E-03 3.4327E+01 1.9884E+02  0.00E+00  -4.9950E-01  2.0000E+02  5.8528E-08  4.0000E-06  3.4945E-09 -1.1761E+01  3.1300E+00
 37 2.8459E-03 3.3575E+01 1.9755E+02  0.00E+00  -3.1058E+00  2.0000E+02  5.6500E-08  4.0000E-06  3.0649E-09 -1.0289E+01  2.7196E+00
 38 3.2659E-03 3.2836E+01 1.9689E+02  0.00E+00  -3.1058E+00  2.0000E+02  5.4030E-08  4.0000E-06  2.6845E-09 -8.7300E+00  2.2802E+00
 39 3.7425E-03 3.2105E+01 1.9689E+02  0.00E+00  -3.1058E+00  2.0000E+02  5.2300E-08  4.0000E-06  2.3486E-09 -7.3439E+00  1.8610E+00
 40 4.2826E-03 3.1383E+01 1.9689E+02  0.00E+00  -3.1058E+00  2.0000E+02  5.4016E-08  4.0000E-06  2.0117E-09 -6.3165E+00  1.5067E+00
 41 4.8935E-03 3.0668E+01 1.9689E+02  0.00E+00  -3.1058E+00  2.0000E+02  5.9545E-08  4.0000E-06  1.6964E-09 -5.6693E+00  1.2433E+00
 42 5.5836E-03 2.9961E+01 1.9689E+02  0.00E+00  -3.1058E+00  2.0000E+02  6.7993E-08  4.0000E-06  1.4233E-09 -5.2749E+00  1.0714E+00
 43 6.3618E-03 2.9262E+01 1.9689E+02  0.00E+00  -3.1058E+00  2.0000E+02  7.9240E-08  4.0000E-06  1.1810E-09 -4.9580E+00  9.7054E-01
 44 7.2381E-03 2.8571E+01 1.9689E+02  0.00E+00  -3.1058E+00  2.0000E+02  9.2318E-08  4.0000E-06  9.9342E-10 -4.5967E+00  9.1167E-01
