     ALT          P          T          FH2O           O3           THEAT        TCOOL        PSATCO2        FCO2
3.1077E+01  3.2659E-03 1.6644E+02    5.4030E-08    2.6845E-09    2.6349E+00   -2.6497E+00    6.7521E-02    2.0000E-01
3.0459E+01  3.7425E-03 1.6748E+02    5.2300E-08    2.3486E-09    2.3617E+00   -2.2826E+00    7.5960E-02    2.0000E-01
2.9843E+01  4.2826E-03 1.6838E+02    5.4016E-08    2.0117E-09    2.0310E+00   -1.9390E+00    8.3957E-02    2.0000E-01
2.9232E+01  4.8935E-03 1.6913E+02    5.9545E-08    1.6964E-09    1.6850E+00   -1.6821E+00    9.1129E-02    2.0000E-01
2.8625E+01  5.5836E-03 1.6975E+02    6.7993E-08    1.4233E-09    1.3725E+00   -1.5359E+00    9.7531E-02    2.0000E-01
2.8022E+01  6.3618E-03 1.7031E+02    7.9240E-08    1.1810E-09    1.1297E+00   -1.4794E+00    1.0367E-01    2.0000E-01
2.7424E+01  7.2381E-03 1.7089E+02    9.2318E-08    9.9342E-10    9.6867E-01   -1.4672E+00    1.1033E-01    2.0000E-01
2.6831E+01  8.2233E-03 1.7154E+02    1.0485E-07    8.4686E-10    8.7725E-01   -1.4582E+00    1.1830E-01    2.0000E-01
2.6242E+01  9.3291E-03 1.7230E+02    1.1419E-07    7.3796E-10    8.2952E-01   -1.4286E+00    1.2821E-01    2.0000E-01
2.5657E+01  1.0569E-02 1.7317E+02    1.2232E-07    6.5371E-10    7.9948E-01   -1.3689E+00    1.4047E-01    2.0000E-01
2.5076E+01  1.1955E-02 1.7413E+02    1.2669E-07    5.8863E-10    7.6947E-01   -1.2820E+00    1.5526E-01    2.0000E-01
2.4498E+01  1.3505E-02 1.7516E+02    1.2800E-07    5.3728E-10    7.3157E-01   -1.1824E+00    1.7257E-01    2.0000E-01
2.3924E+01  1.5233E-02 1.7623E+02    1.2825E-07    4.9212E-10    6.8535E-01   -1.0869E+00    1.9224E-01    2.0000E-01
2.3353E+01  1.7158E-02 1.7730E+02    1.3035E-07    4.4717E-10    6.3422E-01   -1.0115E+00    2.1409E-01    2.0000E-01
2.2787E+01  1.9298E-02 1.7837E+02    1.3657E-07    4.0223E-10    5.8313E-01   -9.6307E-01    2.3807E-01    2.0000E-01
2.2223E+01  2.1674E-02 1.7944E+02    1.4767E-07    3.5793E-10    5.3671E-01   -9.3545E-01    2.6430E-01    2.0000E-01
2.1664E+01  2.4308E-02 1.8052E+02    1.6230E-07    3.1633E-10    4.9774E-01   -9.1380E-01    2.9317E-01    2.0000E-01
2.1108E+01  2.7223E-02 1.8160E+02    1.8081E-07    2.7719E-10    4.6660E-01   -8.8438E-01    3.2512E-01    2.0000E-01
2.0556E+01  3.0443E-02 1.8270E+02    2.0060E-07    2.4143E-10    4.4157E-01   -8.4013E-01    3.6056E-01    2.0000E-01
2.0008E+01  3.3996E-02 1.8381E+02    2.2271E-07    2.0809E-10    4.2007E-01   -7.8381E-01    3.9963E-01    2.0000E-01
1.9464E+01  3.7908E-02 1.8491E+02    2.4740E-07    1.7634E-10    3.9991E-01   -7.2402E-01    4.4226E-01    2.0000E-01
1.8924E+01  4.2211E-02 1.8600E+02    2.7399E-07    1.4436E-10    3.8021E-01   -6.7036E-01    4.8816E-01    2.0000E-01
1.8388E+01  4.6934E-02 1.8706E+02    3.0418E-07    1.1389E-10    3.6120E-01   -6.2939E-01    5.3705E-01    2.0000E-01
1.7856E+01  5.2110E-02 1.8810E+02    3.3770E-07    8.5019E-11    3.4360E-01   -6.0057E-01    5.8878E-01    2.0000E-01
1.7329E+01  5.7775E-02 1.8911E+02    3.7379E-07    5.8273E-11    3.2786E-01   -5.7744E-01    6.4342E-01    2.0000E-01
1.6807E+01  6.3963E-02 1.9010E+02    4.1196E-07    3.5466E-11    3.1398E-01   -5.5166E-01    7.0123E-01    2.0000E-01
1.6290E+01  7.0712E-02 1.9107E+02    4.5047E-07    1.7769E-11    3.0150E-01   -5.1696E-01    7.6239E-01    2.0000E-01
1.5777E+01  7.8062E-02 1.9203E+02    4.9016E-07    6.3769E-12    2.8978E-01   -4.7215E-01    8.2693E-01    2.0000E-01
1.5270E+01  8.6051E-02 1.9296E+02    5.2904E-07    1.9683E-12    2.7828E-01   -4.1969E-01    8.9447E-01    2.0000E-01
1.4767E+01  9.4722E-02 1.9387E+02    5.6918E-07    8.1853E-13    2.6677E-01   -3.6529E-01    9.6431E-01    2.0000E-01
1.4270E+01  1.0412E-01 1.9473E+02    6.0906E-07    4.2335E-13    2.5368E-01   -3.1129E-01    1.0354E+00    2.0000E-01
1.3779E+01  1.1428E-01 1.9554E+02    6.4922E-07    2.0969E-13    2.3902E-01   -2.6311E-01    1.1068E+00    2.0000E-01
1.3293E+01  1.2525E-01 1.9630E+02    6.8781E-07    8.6760E-14    2.2556E-01   -2.2550E-01    1.1771E+00    2.0000E-01
1.2813E+01  1.3709E-01 1.9700E+02    7.2232E-07    3.1567E-14    2.1349E-01   -1.9375E-01    1.2457E+00    2.0000E-01
1.2339E+01  1.4982E-01 1.9765E+02    7.5236E-07    1.2663E-14    2.0283E-01   -1.6219E-01    1.3116E+00    2.0000E-01
1.1872E+01  1.6350E-01 1.9824E+02    7.7927E-07    6.1122E-15    1.9448E-01   -1.4788E-01    1.3743E+00    2.0000E-01
1.1411E+01  1.7818E-01 1.9879E+02    2.7117E-06    3.3900E-15    2.0099E-01   -3.7559E-01    1.4362E+00    2.0000E-01
1.0956E+01  1.9389E-01 1.9936E+02    4.0000E-06    2.0598E-15    2.0159E-01   -3.0007E-01    1.5014E+00    2.0000E-01
1.0508E+01  2.1069E-01 2.0016E+02    4.0000E-06    1.3084E-15    1.9237E-01   -2.2402E-01    1.5982E+00    2.0000E-01
1.0062E+01  2.2861E-01 2.0455E+02    4.0000E-06    8.2882E-16    1.8706E-01   -3.6827E-01    2.2315E+00    2.0000E-01
9.6134E+00  2.4770E-01 2.0920E+02    4.6366E-06    5.0152E-16    1.8659E-01   -5.3913E-01    3.1269E+00    2.0000E-01
9.1635E+00  2.6800E-01 2.1384E+02    8.8195E-06    2.3522E-16    2.0363E-01   -9.7762E-01    4.3156E+00    2.0000E-01
8.7122E+00  2.8955E-01 2.1846E+02    1.6287E-05    1.0423E-16    2.3159E-01   -1.4785E+00    5.6210E+00    2.0000E-01
