Gibbs Energy (J/mol):
-3.3526e+03
initial_n final_n
4.3678e+02 4.3667e+02
4.7290e-13 5.9350e-13
7.5000e-01 7.2456e-01
2.5000e-02 2.9482e-02
2.0000e-01 1.9647e-01
1.0000e-10 1.8677e-07
1.8350e-07 5.9925e-04
4.9100e-02 7.9004e-13
2.8950e-02 4.2242e-07
7.2530e-09 3.6924e-09
1.9676e-06 1.7113e-06
4.5919e+00 4.4839e+00
4.2759e+00 4.2759e+00
2.0679e-01 2.5823e-01
5.2395e-02 5.3736e-02
6.2092e-04 2.4508e-04
3.1183e-07 6.9796e-07
4.9434e-08 9.6962e-05
2.2144e-05 5.0709e-02
3.7888e-03 3.8368e-03
4.6363e-15 5.7413e-13
2.1603e-09 7.4264e-06
3.7606e-04 1.7662e-11
7.8330e-15 3.2402e-09
7.8330e-15 3.2038e-10
1.7679e-04 1.9681e-09
