
 HC AEROSOL PARAMETERS

    Z        AERSOL     RPAR      RFRAC      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  8.225E+06 3.792E-21 1.300E-07 1.300E-07 1.977E+01 2.319E+04 2.101E+05 8.673E+29 6.985E+01
  8.325E+06 1.665E-21 1.300E-07 1.300E-07 2.442E+01 1.877E+04 2.101E+05 1.975E+30 6.985E+01
  8.425E+06 7.553E-22 1.300E-07 1.300E-07 3.017E+01 1.520E+04 2.101E+05 4.355E+30 6.985E+01
  8.525E+06 3.496E-22 1.300E-07 1.300E-07 3.726E+01 1.230E+04 2.101E+05 9.409E+30 6.985E+01
  8.625E+06 1.639E-22 1.300E-07 1.300E-07 4.601E+01 9.963E+03 2.101E+05 2.006E+31 6.985E+01
  8.725E+06 7.767E-23 1.300E-07 1.300E-07 5.682E+01 8.067E+03 2.101E+05 4.235E+31 6.985E+01
  8.825E+06 3.714E-23 1.300E-07 1.300E-07 7.017E+01 6.533E+03 2.101E+05 8.856E+31 6.985E+01
  8.925E+06 1.791E-23 1.300E-07 1.300E-07 8.664E+01 5.291E+03 2.101E+05 1.836E+32 6.985E+01
  9.025E+06 8.714E-24 1.300E-07 1.300E-07 1.070E+02 4.285E+03 2.101E+05 3.774E+32 6.985E+01
  9.125E+06 4.277E-24 1.300E-07 1.300E-07 1.321E+02 3.471E+03 2.101E+05 7.690E+32 6.985E+01
  9.225E+06 2.119E-24 1.300E-07 1.300E-07 1.630E+02 2.812E+03 2.101E+05 1.552E+33 6.985E+01
  9.325E+06 1.060E-24 1.300E-07 1.300E-07 2.013E+02 2.278E+03 2.101E+05 3.103E+33 6.985E+01
  9.425E+06 5.352E-25 1.300E-07 1.300E-07 2.484E+02 1.845E+03 2.101E+05 6.146E+33 6.985E+01
  9.525E+06 2.720E-25 1.300E-07 1.300E-07 3.066E+02 1.495E+03 2.101E+05 1.209E+34 6.985E+01
  9.625E+06 1.379E-25 1.300E-07 1.300E-07 3.784E+02 1.211E+03 2.101E+05 2.385E+34 6.985E+01
  9.725E+06 6.830E-26 1.300E-07 1.300E-07 4.671E+02 9.815E+02 2.101E+05 4.815E+34 6.985E+01
  9.825E+06 3.134E-26 1.300E-07 1.300E-07 5.764E+02 7.954E+02 2.101E+05 1.050E+35 6.985E+01
  9.925E+06 1.129E-26 1.300E-07 1.300E-07 7.112E+02 6.446E+02 2.101E+05 2.914E+35 6.985E+01
