
 HC AEROSOL PARAMETERS

    Z        AERSOL     RPAR      RFRAC      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  4.825E+06 1.636E-24 1.300E-07 1.300E-07 1.443E-02 3.126E+07 2.211E+06 2.027E+33 5.457E+01
  4.925E+06 1.469E-24 1.300E-07 1.300E-07 1.791E-02 2.528E+07 2.009E+06 2.253E+33 5.457E+01
  5.025E+06 1.319E-24 1.300E-07 1.300E-07 2.221E-02 2.046E+07 1.842E+06 2.504E+33 5.457E+01
  5.125E+06 1.186E-24 1.300E-07 1.300E-07 2.752E-02 1.656E+07 1.702E+06 2.782E+33 5.457E+01
  5.225E+06 1.067E-24 1.300E-07 1.300E-07 3.408E-02 1.341E+07 1.572E+06 3.087E+33 5.457E+01
  5.325E+06 9.598E-25 1.300E-07 1.300E-07 4.218E-02 1.087E+07 1.447E+06 3.427E+33 5.457E+01
  5.425E+06 8.622E-25 1.300E-07 1.300E-07 5.215E-02 8.823E+06 1.323E+06 3.808E+33 5.457E+01
  5.525E+06 7.733E-25 1.300E-07 1.300E-07 6.443E-02 7.165E+06 1.197E+06 4.239E+33 5.457E+01
  5.625E+06 6.929E-25 1.300E-07 1.300E-07 7.959E-02 5.806E+06 1.067E+06 4.728E+33 5.457E+01
  5.725E+06 6.200E-25 1.300E-07 1.300E-07 9.838E-02 4.683E+06 9.359E+05 5.292E+33 5.457E+01
  5.825E+06 5.516E-25 1.300E-07 1.300E-07 1.217E-01 3.771E+06 8.128E+05 5.959E+33 5.457E+01
  5.925E+06 4.865E-25 1.300E-07 1.300E-07 1.506E-01 3.044E+06 7.052E+05 6.760E+33 5.457E+01
  6.025E+06 4.264E-25 1.300E-07 1.300E-07 1.863E-01 2.460E+06 6.109E+05 7.714E+33 5.457E+01
  6.125E+06 3.718E-25 1.300E-07 1.300E-07 2.305E-01 1.989E+06 5.280E+05 8.847E+33 5.457E+01
  6.225E+06 3.226E-25 1.300E-07 1.300E-07 2.851E-01 1.608E+06 4.560E+05 1.019E+34 5.457E+01
  6.325E+06 2.788E-25 1.300E-07 1.300E-07 3.526E-01 1.300E+06 3.941E+05 1.180E+34 5.457E+01
  6.425E+06 2.399E-25 1.300E-07 1.300E-07 4.361E-01 1.051E+06 3.411E+05 1.371E+34 5.457E+01
  6.525E+06 2.057E-25 1.300E-07 1.300E-07 5.394E-01 8.499E+05 2.960E+05 1.599E+34 5.457E+01
  6.625E+06 1.757E-25 1.300E-07 1.300E-07 6.670E-01 6.873E+05 2.575E+05 1.872E+34 5.457E+01
  6.725E+06 1.494E-25 1.300E-07 1.300E-07 8.248E-01 5.558E+05 2.248E+05 2.201E+34 5.457E+01
  6.825E+06 1.266E-25 1.300E-07 1.300E-07 1.020E+00 4.495E+05 2.101E+05 2.598E+34 5.457E+01
  6.925E+06 1.070E-25 1.300E-07 1.300E-07 1.261E+00 3.636E+05 2.101E+05 3.075E+34 5.457E+01
  7.025E+06 8.977E-26 1.300E-07 1.300E-07 1.559E+00 2.941E+05 2.101E+05 3.664E+34 5.457E+01
  7.125E+06 7.418E-26 1.300E-07 1.300E-07 1.927E+00 2.379E+05 2.101E+05 4.434E+34 5.457E+01
  7.225E+06 5.971E-26 1.300E-07 1.300E-07 2.382E+00 1.924E+05 2.101E+05 5.508E+34 5.457E+01
  7.325E+06 4.618E-26 1.300E-07 1.300E-07 2.944E+00 1.557E+05 2.101E+05 7.122E+34 5.457E+01
  7.425E+06 3.380E-26 1.300E-07 1.300E-07 3.639E+00 1.260E+05 2.101E+05 9.731E+34 5.457E+01
  7.525E+06 2.303E-26 1.300E-07 1.300E-07 4.498E+00 1.019E+05 2.101E+05 1.428E+35 5.457E+01
  7.625E+06 1.439E-26 1.300E-07 1.300E-07 5.558E+00 8.248E+04 2.101E+05 2.286E+35 5.457E+01
  7.725E+06 8.127E-27 1.300E-07 1.300E-07 6.868E+00 6.674E+04 2.101E+05 4.047E+35 5.457E+01
  7.825E+06 4.111E-27 1.300E-07 1.300E-07 8.487E+00 5.401E+04 2.101E+05 8.001E+35 5.457E+01
  7.925E+06 1.860E-27 1.300E-07 1.300E-07 1.049E+01 4.372E+04 2.101E+05 1.768E+36 5.457E+01
  8.025E+06 7.667E-28 1.300E-07 1.300E-07 1.296E+01 3.538E+04 2.101E+05 4.290E+36 5.457E+01
  8.125E+06 5.069E-28 1.300E-07 1.300E-07 1.601E+01 2.864E+04 2.101E+05 6.489E+36 5.457E+01
  8.225E+06 4.103E-28 1.300E-07 1.300E-07 1.977E+01 2.319E+04 2.101E+05 8.016E+36 5.457E+01
  8.325E+06 3.322E-28 1.300E-07 1.300E-07 2.442E+01 1.877E+04 2.101E+05 9.902E+36 5.457E+01
  8.425E+06 2.689E-28 1.300E-07 1.300E-07 3.017E+01 1.520E+04 2.101E+05 1.223E+37 5.457E+01
  8.525E+06 2.177E-28 1.300E-07 1.300E-07 3.726E+01 1.230E+04 2.101E+05 1.511E+37 5.457E+01
  8.625E+06 1.763E-28 1.300E-07 1.300E-07 4.601E+01 9.963E+03 2.101E+05 1.865E+37 5.457E+01
  8.725E+06 1.428E-28 1.300E-07 1.300E-07 5.682E+01 8.067E+03 2.101E+05 2.304E+37 5.457E+01
  8.825E+06 1.156E-28 1.300E-07 1.300E-07 7.017E+01 6.533E+03 2.101E+05 2.845E+37 5.457E+01
  8.925E+06 9.364E-29 1.300E-07 1.300E-07 8.664E+01 5.291E+03 2.101E+05 3.513E+37 5.457E+01
  9.025E+06 7.584E-29 1.300E-07 1.300E-07 1.070E+02 4.285E+03 2.101E+05 4.337E+37 5.457E+01
  9.125E+06 6.143E-29 1.300E-07 1.300E-07 1.321E+02 3.471E+03 2.101E+05 5.354E+37 5.457E+01
  9.225E+06 4.976E-29 1.300E-07 1.300E-07 1.630E+02 2.812E+03 2.101E+05 6.610E+37 5.457E+01
  9.325E+06 4.031E-29 1.300E-07 1.300E-07 2.013E+02 2.278E+03 2.101E+05 8.160E+37 5.457E+01
  9.425E+06 3.266E-29 1.300E-07 1.300E-07 2.484E+02 1.845E+03 2.101E+05 1.007E+38 5.457E+01
  9.525E+06 2.646E-29 1.300E-07 1.300E-07 3.066E+02 1.495E+03 2.101E+05 1.243E+38 5.457E+01
  9.625E+06 2.144E-29 1.300E-07 1.300E-07 3.784E+02 1.211E+03 2.101E+05 1.534E+38 5.457E+01
  9.725E+06 1.737E-29 1.300E-07 1.300E-07 4.671E+02 9.815E+02 2.101E+05 1.894E+38 5.457E+01
  9.825E+06 1.408E-29 1.300E-07 1.300E-07 5.764E+02 7.954E+02 2.101E+05 2.337E+38 5.457E+01
  9.925E+06 1.141E-29 1.300E-07 1.300E-07 7.112E+02 6.446E+02 2.101E+05 2.883E+38 5.457E+01
