Gibbs Energy (J/mol):
-2.3633e+03
initial_n final_n
4.3678e+02 4.3670e+02
4.0820e-13 5.9996e-13
7.5000e-01 7.3140e-01
2.5000e-02 2.9587e-02
2.0000e-01 1.9528e-01
1.0000e-10 1.3175e-07
1.3320e-07 2.2931e-04
3.3800e-02 1.1901e-12
2.2390e-02 3.3371e-07
3.7230e-09 4.3336e-10
1.9676e-06 1.7548e-06
4.5919e+00 4.4839e+00
4.2759e+00 4.2759e+00
2.0679e-01 2.4462e-01
5.2395e-02 5.3512e-02
6.2092e-04 2.2287e-04
3.1183e-07 6.7088e-07
4.9434e-08 6.8132e-05
2.2144e-05 3.7059e-02
3.7888e-03 3.8410e-03
4.0019e-15 5.7935e-13
1.5682e-09 2.8186e-06
2.5888e-04 2.4487e-11
7.8330e-15 1.7154e-09
7.8330e-15 1.5743e-09
1.3676e-04 1.5791e-12
